                                  CORRUPTING


  If you are darkie and got some anti-evil item into your hands, then it's not
just crap anymore. You can corrupt them and make them serve you as true
servants on your evil paths.

    Original                Result
  white robe              black hooded cloak
  grey tunic              black hooded cloak
  sapphire ring           banded ring
  bright red amulet       black amulet
  mithril circlet         twisted crown
  crystal phial           ?
  necklace                increasing of Sauron's darkness
  focus pale blue stone   blue scroll
  NOC pale blue stone     azure scroll
  ancient dwarven shield  defiled dwarven shield
  whitie legend staff     charred staff
  dunadan blade           wightblade
